category,id,name,likes,talking_about_count,were_here_count,location-street,location-city,location-country,location-zip,location-lat-lng,link,phone,website,description,members,mission,general_info,products,hours,category_list,cover,emails,founded
Restaurant/cafe,688812157906030,"Lovely Hill",60,21,444,Parsayan,Pokhara,Nepal,33700,"28.2639,83.9722",https://www.facebook.com/pages/Lovely-Hill/688812157906030,061431887,"""""","""""","""""","""""","""""","""""","""""","Nepalese Restaurant","""""","""""",""""""
Restaurant/cafe,403130263187517,"Momotarou Japnese Restaurant",166,0,12,"lakeside-6 khahare",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/Momotarou-Japnese-Restaurant/403130263187517,061-464134,"""""","""""","""""","""""","""""","""""","""""",Restaurant/Cafe,"""""","""""",""""""
"Local business",177827068941041,"Fishtail Hospital Pokhara",577,59,2333,Gairapatan-4,Pokhara,Nepal,977,"28.226022522532,83.990103466804",https://www.facebook.com/pages/Fishtail-Hospital-Pokhara/177827068941041,"+977-61-527553, +977-61-528999",http://www.fishtailhospital.com.np/,"""""","""""","""""","""""","""""","""""","Hospital/Medical Center/Nursing Home","""""","""""",""""""
Education,595997517173696,"Manipal College Of Medical Science MCOMS",1300,162,146,Nepal,Pokhara,Nepal,+977,"28.2639,83.9722",https://www.facebook.com/mcomsnepal,"""""",http://www.manipal.edu.np,"""""","""""","""""","""""","""""","""""",Education,object,"""""",""""""
"Community organization",313232895535681,"RC BULLS",427,26,92,"Ratna chowk",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/RC-BULLS/313232895535681,"""""","""""","""""","""""","""""","""""","""""","""""","Community Organization",object,"""""",""""""
University,180432268788383,"Tribhuwan University, IOE, Western Region Campus",1535,61,0,Lamachaur-16,Pokhara,Nepal,,"28.254702903767,83.976399726417",https://www.facebook.com/pages/Tribhuwan-University-IOE-Western-Region-Campus/180432268788383,"""""",www.wrc.edu.np,"""""","""""","""""","""""","""""","""""","College &amp; University",object,"""""",""""""
"Local business",200953729956369,"Manipal Teaching Hospital",3369,426,14556,Fulbari,Pokhara,Nepal,977,"28.231445318697,83.998726874083",https://www.facebook.com/pages/Manipal-Teaching-Hospital/200953729956369,061-526416,http://www.manipal.edu.np,"""""","""""","""""","""""","""""","""""","Hospital/Medical School/Medical Research","""""","""""",""""""
"Local business",189219384620019,"Hamro bazar.com",4024,6,17,Pokhara,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/Hamro-bazarcom/189219384620019,9808141142,"""""","""""","""""","""""","""""","""""","""""","Local Business",object,"""""",""""""
"Local business",175899815897502,"Beautiful World of My Friends",124,88,2407,,Pokhra,Nepal,,"28.229080066667,83.9940443",https://www.facebook.com/pages/Beautiful-World-of-My-Friends/175899815897502,"""""","""""","""""","""""","""""","""""","""""","""""","Arts &amp; Entertainment","""""","""""",""""""
"Local business",352609668174327,"Sainik Awasiya Mahavidyalaya",192,45,1703,,Pokhara,Nepal,,"28.2265295317,83.9931323474",https://www.facebook.com/pages/Sainik-Awasiya-Mahavidyalaya/352609668174327,"""""","""""","""""","""""","""""","""""","""""","""""",School,"""""","""""",""""""
Organization,135906266443810,"Prithivi Narayan Campus",3515,51,1567,,Pokhara,Nepal,,"28.239483,83.990192",https://www.facebook.com/pages/Prithivi-Narayan-Campus/135906266443810,0543232867,"""""","Prithvi Narayan Multiple Campus  is a public co-educational institution located in the northern part of the Pokhara city and is one of the largest campuses affiliated to the Tribhuvan University. The institution offers undergraduate and graduate programs. It is named after the king Prithivi Narayan Shah credited for the unification of Nepal in its modern form.HistoryThe campus, initially named Prithivi Narayan College, was established in Sept. 1, 1960 as the first community college of the Kaski district for post secondary education as a local effort. In its initial years the classes were conducted in Ratna Rajya Laxmi High School. In 1961 it was granted public land in Bhimkali Patan, Bagar where it currently exists. Regarded as one of the largest affiliate campuses of Tribhuvan University (TU) it is a major center for post secondary education in the western region of the country.The campus is regarded as one of the important educational institutions in the country and receives government grants distributed through the TU. In accordance with the TU decentralization act of 1998 the campus elected a management committee in Sept. 1999 which handles tasks such as construction of physical infra-structure, making rules, working plan and economic policies and a sub committee under the management committee looks after every day affairs of the campus. The campus is spread over 35 hectares along on the banks of the Seti Gandaki River. The campus buildings occupy only a part of this area; most of the land owned is open. In 2006, UNDP Global Environmental funded a project to develop this open space as Green Space Park, where university students could learn about environmental conservation and demonstrate the use of open space to serve the leisure and recreational needs of the growing urban population of Pokhara. The campus is regarded as one of the most picturesque in the country.","""""","""""","""""","""""","""""","College &amp; University","""""","""""",""""""
Media/news/publishing,731810883555412,"Everest Mice & Event Management Company",1585,97,45,Nepal,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/everest.mice,"""""","""""","""""","""""","""""","""""","""""","""""",Media/News/Publishing,object,"""""",""""""
School,300943476640958,"The Gurkha Army Training School [GATS]",3945,33,75,"Indramarg-10,",Pokhara,Nepal,"Nepal ","28.2639,83.9722",https://www.facebook.com/pages/The-Gurkha-Army-Training-School-GATS/300943476640958,"+977-06-1431085 & cell: +977-98460-53440 ","""""","""""","""""","""""","""""","""""","""""",School,object,"""""",""""""
City,104052812964372,Pokhara,200959,6441,364960,,"33700 (WRPD), 33702, 33704, 33706, 33708, 33713","28.2639,83.9722",https://www.facebook.com/pages/Pokhara/104052812964372,"""""","""""","Pokhara lies in the centre of Kaski District, Gandaki Zone and the Western Development Region. It is also the headquarters of Kaski District, Gandaki Zone as well as Western Development Region. Pokhara is also the second largest city of Nepal with an area of 55.66 km2 and a population of 255,465 according to 2011 census. However, the Pokhara valley has an area of 125 km2. The city is located at an altitude of 727 meters to 980 meters and approximately 200 km west of the country's capital, Kathmandu. Three out of the ten highest mountains in the world — Dhaulagiri, Annapurna I and Manaslu — are within 30 miles of the city. Due to its proximity to the Annapurna mountain range, the city is also a base for trekkers undertaking the Annapurna Circuit through the ACAP region of the Annapurna ranges in the Himalayas.Pokhara is home to many Gurkha soldiers. It is the second most expensive city in the country after Kathmandu, with the Cost of Living Index of 95.","""""","""""","""""","""""","""""",City,"""""","""""",""""""
Organization,298806426921530,"Yesho, ""Tuccha Tuccha""",2768,0,0,"Newroad ",Pokhara,Nepal,,"28.26299125,83.9702661",https://www.facebook.com/YeshoTucchaTuccha,"""""","""""","""""","""""","""""","""""","""""","""""",Organization,object,"""""",""""""
"Local business",629129997210394,"हाम्रो सुन्दर बजार खर्बाङ",277,16,1,"Nepal ",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/%E0%A4%B9%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%B0%E0%A5%8B-%E0%A4%B8%E0%A5%81%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%B0-%E0%A4%AC%E0%A4%9C%E0%A4%BE%E0%A4%B0-%E0%A4%96%E0%A4%B0%E0%A5%8D%E0%A4%AC%E0%A4%BE%E0%A4%99/629129997210394,009779847465818,"""""","""""","""""","""""","""""","""""","""""","Local Business",object,"""""",""""""
"Local business",482095488597983,Autoliker,566,25,26,,Pokhara,Nepal,95345,"28.2639,83.9722",https://www.facebook.com/pages/Autoliker/482095488597983,"""""",http://www.autoliker.com,"""""","""""","""""","""""","""""","""""","Local Business",object,"""""",""""""
Health/beauty,742842155759764,"Pokhara online store",2983,11,22,"Rambazar 15",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pkrstore,9840603822,http://www.pkronlinestore.com,"""""","""""","""""","""""","""""","""""",Health/Beauty,object,"""""",""""""
Club,1705522366340062,"SainiK Ko dami kta Ra kti Haru",641,0,5,"phoolbhari ",Pokhara,Nepal,2580,"28.2639,83.9722",https://www.facebook.com/pages/SainiK-Ko-dami-kta-Ra-kti-Haru/1705522366340062,9814146580,"""""","""""","""""","""""","""""","""""","""""",Club,object,"""""",""""""
"Local business",180600105337663,"British Gurkhas Pokhara",310,10,1687,"Pokhara-16 , deep",Pokhara,Nepal,,"28.24702669901,83.991283956866",https://www.facebook.com/pages/British-Gurkhas-Pokhara/180600105337663,9849939320,www.gurkhabde.com,"""""","""""","""""","""""","""""","""""","Community &amp; Government","""""","""""",""""""
Media/news/publishing,395147257327287,"Radio Apostle 102.6 MHz",415,72,11,Bagbazar,Pokhara,Nepal,,"28.2456303,83.9890823",https://www.facebook.com/pages/Radio-Apostle-1026-MHz/395147257327287,"""""",http://www.radioapostle.com.np,"""""","""""","""""","""""","""""","""""",Media/News/Publishing,object,"""""",""""""
Restaurant/cafe,320039738184956,"OR2K Restaurant Pokhara",570,113,176,"Lake side ",Pokhara,Nepal,33700,"28.2639,83.9722",https://www.facebook.com/pages/OR2K-Restaurant-Pokhara/320039738184956,9803703080,http://www.or2k.net,"By the Lake view and the himalayas we open our new OR2K restaurant in Pokhara. with relaxing atmosphere, tasty food, chilling music and beautiful people. great events, we invite you to join to Enjot and relax at our new Baby in Pokhara and be part of the OR2K Family. :)","""""","""""","""""","""""",object,Restaurant/Cafe,object,"""""",""""""
School,135016326622812,"Littlestep higher secondary school",1379,27,278,"simlchau 8",Pokhara,Nepal,,"28.239510405171,83.987170582725",https://www.facebook.com/LittlestepHigherSecondarySchool,061-525013/061-550796,www.littlestep.edu.np,"""""","""""","Love,Knowledge and Service","""""","""""","""""",School,object,"""""","Mr. Sher Bahadur Gurung"
Media/news/publishing,966993496650439,"Pokhara Television",3247,226,120,pokhara,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/Pokhara-Television/966993496650439,061-528511,"""""","""""","""""","""""","""""","""""","""""",Media/News/Publishing,object,"""""",""""""
Transportation,1546878998886413,"BABU Motercycle Surgery",443,35,80,Pokhara,Pokhara,Nepal,+9779856033045,"28.2639,83.9722",https://www.facebook.com/babumotorcycle,9806622963,"""""","""""","""""","""""","""""","""""","""""",Transportation,object,"""""",""""""
Education,257690734265536,"Pokhara College of Management",1845,222,656,"Gyanmarg,",Pokhar,Nepal,+977,"28.228768601638,83.990570082646",https://www.facebook.com/pokharacollegeofmanagement,"+977061520124 ;                      +977 061541761",http://pcm.edu.np,"Pokhara College of Management (PCM), affiliated to Pokhara University, was established in the year 2002 AD with an unwavering  dedication to develop well educated, confidence , created and adaptive Bachelor of Business Administration (BBA) graduates able to make  impact in an organization's strategic capability and competitive advantage. The  goal of PCM is to provide affordable  quality education to the aspiring young generation who can become the agents of societal change. Therefore, our motto: Enter to Learn-Go Forth to Serve.","""""","Our mission is  to  identify, develop and unveil the potential of future business leaders who will be able to define their own role, responsibilities and boundaries to grasp the opportunities of the dynamic new world and make this nation prosper economically.
","""""","""""","""""",Education,object,"""""","Estd 2002 AD"
"Sports venue",608381962602047,"Germany Football Fans - Nepal",1098,10,134,,Pokhara,Nepal,061,"28.2639,83.9722",https://www.facebook.com/Germanyfannepal,+9779846622761,http://www.facebook.com/germanyfannepal,"""""","""""","""""","""""","""""","""""","Sports Venue &amp; Stadium",object,"""""",""""""
"Public places",461373373988801,"I Love Pokhara",6800,58,604,,Pokhara,Nepal,+977,"28.2291403995,83.9881253045",https://www.facebook.com/ILopPkr,+9779846622761,http://www.Ilovepokhara.com,"Pokhara,the second largest city of Nepal is located right at the centre of the country. It lies in Kaski district, west of Nepal, and is the capital of the Western Development region. Also, popularly known as the lake city, Pokhara is home to about 3,50,000 people.

Famous for its picturesque setting, Pokhara is known to woo any visitor with its scenic beauty. Three out of the ten highest mountains in the world; Dhaulagiri, Annapurna and Manaslu can be viewed very closely from Pokhara. Besides, these three mountains Macchapuchre (fish tail) can be seen from Pokhara. The city’s most iconic place is the Phewa Lake which is located in the south of the city. Boating in this pristine lake is a favourite activity among visitors. The city has been able to maintain its calm, serene setting which brings hordes of tourists; both international and domestic every year. 

The city lies about 198 km west of Kathmandu. Many travel options are available to Pokhara from the capital city. Tourist bus is a popular means of travel. It takes approximately eight hours to reach Pokhara by tourist bus. Micro-vans are however a much faster option. You can reach Pokhara in five hours if you choose to travel by micro. Regular flights are also operated from Kathmandu to Pokhara.","""""","""""","""""","""""","""""","Public Places",object,"""""",""""""
Travel/leisure,810489202304746,"Heaven in Pokhara",1239,15,54,"LAKESIDE,POKHARA",Pokhara,Nepal,00977,"28.2639,83.9722",https://www.facebook.com/pages/Heaven-in-Pokhara/810489202304746,"""""","""""","""""","""""","""""","""""","""""","""""",Travel/Leisure,object,"""""",""""""
Restaurant/cafe,1482514865330913,"Near to ur heart baby",81,94,1101,"pokhara-17,birauta",Pokhara,Nepal,010,"28.2639,83.9722",https://www.facebook.com/pages/Near-to-ur-heart-baby/1482514865330913,9806624951,"""""","""""","""""","""""","""""","""""","""""","Arts &amp; Entertainment/Home",object,"""""",""""""
Education,422965581144217,"लोक सेवा पिडित",3241,4,0,pokhara,Pokhara,Nepal,061,"28.2639,83.9722",https://www.facebook.com/lok.sewa.pidit,"""""",http://www.wwwnepalisamaj.blogspot.com,"लोक सेवाको दुनियामा नयाँ पेज जहा लोक सेवा आयोगले लिने परिक्षाको सम्पुर्ण जानकारि तथा परिक्षामा सोधिने सम्भावित प्रश्नहरु प्रस्तुत गरिन्छ।।।
यो पेजलाई मन पराउनुहोस्.....(लाईक गर्नुहोस्)
www.facebook.com/lok.sewa.pidit","""""","to educate ","""""","""""","""""",Education,object,"""""","dhakal human"
"Professional services",775757225834678,"Wedding Bell",3349,182,719,Gairapatan,Pokhara,Nepal,00977,"28.2639,83.9722",https://www.facebook.com/weddingbellpkr,"+977 9802935170",http://www.weddingdiarynepal.com,"Wedding Bell' is a reputable, highly rated, professional, affordable photography studio that services Pokhara and the surrounding areas. Wedding bell Images is known for offering gorgeous yet inexpensive wedding photography. If you are a bride or a groom that is looking for gorgeous inexpensive wedding photography, you’ve came to the right place!

When you choose 'Wedding bell' to photograph your wedding, you will get a beautiful blend of traditional, contemporary, artistic & photojournalistic styles. Our professional photographers are true artists and we feel that they are also the best in the Pokhara.

Besides offering Wedding Photography services, we also offer Videography, every type of event photography services as well. This includes Birthday Party Photography, Anniversary Photography, Corporate Photography, School Events Photography and much more.","""""","""""","""""","""""","""""","Professional Services",object,"""""",""""""
"Sports venue",503678809661585,"जति साइड हाने नि हान ,आँखा त मरे नि झिमक्याउन्न",13011,15,214,,Pokhara,Nepal,061,"28.263888888889,83.972222222222",https://www.facebook.com/jatiside,"""""",http://facebook.com/jati.,"खेलकुद,मनोरन्जन,हाँस्यव्यङ्ग्य,चुटकिला,गाउखाने कथा,रोचक तथा घोचक सामाग्री पढ्न तथा   हेर्न चाहनु हुन्छ भने यो पेज मा लाइक गर्न नबिर्सनुहोला <जति साइड हाने नि हान ,आँखा त मरे नि झिमक्याउन्न>","""""","""""","""""","""""","""""","Community &amp; Government",object,"""""",""""""
"Event planning/event services",1419999798263258,LevelNext,4443,81,430,Pokhara,Pokhara,Nepal,00977,"28.2639,83.9722",https://www.facebook.com/levelnextevent,"977-9802935170 | 977-9804146779",<<not-applicable>>,"Level Next is an Event Management Company with a commitment to organize top quality entertainment events in its home town to help clients exploit the market opportunities. Level Next Event Management can be trusted to manage every aspect of your association to the highest professional standards.

We work closely with our clients to ensure their aims are achieved; many have come to regard levelnext as an extension of their own team, relying on us completely to manage their associations alongside their event portfolios. levelnext is the public face of these organisations.

Objectives of LEVELNEXT Pvt. Ltd. are listed below:

Manage high quality events regularly to give our audience good entertainment.
Ensure maximum benefits of our clients and sponsors through right branding and media promotion.
Promotion and recognition of aspiring artists.
Improve the standard of event in the town.
Share the event footage worldwide via YouTube and other social media platforms.
Organize at least one charity event every year to support Pokhara’s social organizations.
 
We aim to please and ensure our associations are managed efficiently and with a smile. :)
We are full time EVENT COORDINATOR.


The events conducted by LevelNext include:

Competitive or non-competitive sport and recreation events
Promotional events
Conferences
Fundraising events
conferences
roadshows
exhibitions
award ceremonies
corporate events
incentives 
social events

Slogons

•	You change your life by changing your heart.
•	We are not the same but we are all equals.
•	Sometimes, good people make BAD CHOICES. It doesn’t mean they’re bad… it means THEY’RE HUMAN
•	No One can go back and make a brand new start, anyone can start from now and make a brand new ending.

Previous Events:
•	Royal$
•	Jestha 19|9:15
•	YOLO Pool Party - July 19, 2014
Current Event
•	Wild beach party

Future Events
•	Sound of Nature","""""","""""","""""","""""","""""","Event Planner",object,"""""",""""""
Sports/recreation/activities,277320639064068,"JPT modification",3077,67,61,,Pokhara,Nepal,977,"28.2639,83.9722",https://www.facebook.com/JptModification,9816692136,"""""","""""","""""","""""","""""","""""","""""",Sports/Recreation/Activities,object,"""""",""""""
"Sports venue",527888730605756,"Three star club",6433,64,125,,Lalitpur,Nepal,061,"28.2333,83.9833",https://www.facebook.com/club.3starclub,"""""",http://www.facebook.com/club.3starclub,"""""","""""","""""","""""","""""","""""","Sports Club",object,"""""",""""""
Internet/software,1414923858765913,Webpokhara,2056,0,40,pokhara,"Hong Kong","Hong Kong",,"28.2639,83.9722",https://www.facebook.com/webpokhara,0085256000705,http://www.webpokhara.com,"visit www.webpokhara.com for more information","""""","OUR MISSION
CUSTOMER SATISFACTION IS OUR GOAL
WE PROVIDE BEST QUALITY WEBSITES AT VERY NOMINAL PRICE

OUR VISION
TO BRING THE BUSINESSES TO THE E-WORLD. ","""""","""""","""""","Web Design/Web Development",object,"""""","Sagar Poon"
Internet/software,650827018319499,EASYNEPAL,1937,7,44,,Pokhara,Nepal,33700,"28.2639,83.9722",https://www.facebook.com/easynepal,"""""",http://www.easynepal.com,"""""","""""","The new generation taking Nepal into the future. See Nepal with new eyes using our user-friendly website with easy navigation to all useful links. http://www.easynepal.com/","""""","""""","""""","Social Services/Arts &amp; Entertainment/Tourist Information",object,"""""",NepalGetOnline
Education,868721419805208,"IOF updates",960,11,154,"Institute of Forestry",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/Iofupdate,"""""",http://www.iof.edu.np,"""""","""""","""""","""""","""""","""""",Education,object,"""""",""""""
"Local business",244507255583448,"Centre Point Mahendra Pool",221,3,3008,"Mahendra Pul",Pokhara,Nepal,,"28.224142937208,83.989910018411",https://www.facebook.com/pages/Centre-Point-Mahendra-Pool/244507255583448,"""""","""""","""""","""""","""""","""""","""""","""""","Public Places &amp; Attractions","""""","""""",""""""
School,485620288160236,"Step By Step : Confessions and Secrets",1842,2,65,,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/sbshss.confessions,"""""",http://stepbystep.edu.np,"Terms and conditions:
The admin(s) is not responsible for any kind of rudeness posted in this page. We are posting the same as we get through the person who submits confession through(Google Forms) @ http://goo.gl/wp8eM

Confession Submitting Policy:
1) You may not submit the confession that is too much rude to anyone including students and teachers. However there is great freedom here.
2) Here in this page ""Right is yours"".
3) Nobody will know who you are.


Page policy:
As mentioned above the admin(s) will not be responsible for any content. However if the content results in degradation of your image among others then you can always contact us to remove the content appeared in this page. (For contacting us you can message us or post in our wall)


*Update*
Submit video confession through sbshsschool@gmail dot com","""""","EXPOSE THE TRUTH - FREEDOM OF SPEECH","""""","""""","""""",School,object,"""""",""""""
Community/government,540047952761968,"Hero and heroine of Global collegiate",770,67,4,pokhara,Pokhara,Nepal,9805869018,"28.2639,83.9722",https://www.facebook.com/pages/Hero-and-heroine-of-Global-collegiate/540047952761968,9805896018,"""""","""""","""""","""""","""""","""""","""""",Community/Government,object,"""""",""""""
Hotel,1562547087337278,"Kumari Inn",183,1,2,"Pahari Marg - 6, Lakeside",Pokhar,Nepal,33411,"28.2333,83.9833",https://www.facebook.com/kumariinnpokhara,+977-061-467117,"""""","""""","""""","""""","""""","""""","""""",Hotel,object,"""""",""""""
Club,1062614383768168,"Novel Academy BBA TramadOl",417,27,0,NewRoad,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/Novel-Academy-BBA-TramadOl/1062614383768168,"""""","""""","""""","""""","""""","""""","""""","""""",Club,object,"""""",""""""
Company,285682374972079,"National Surf Center",2661,1,123,Lakeside,Pokhara,Nepal,37000,"28.2639,83.9722",https://www.facebook.com/nationalsurfcenter,"977 9816619539",http://www.nationalsurfcenter.nu,"The National Surf Center ( Nepal) is the Home of Nepal Surfing and any watersport relating to Surfing and Stand Up Paddle.
As the ONLY Surfcenter in Nepal with licensed and qualified staff we provide education and training of the next generation of surfers.
We produce ""Experience Surfing"" Adventures on the Phewa Lake for Turist and Curious people who wants to get the Paddle in the water and try our great sport under the close supervision og educated and licensed instructors with up yo 35 years of experience. With main focus on SAFTY and SECURITY.
National Surf Centrer is also the HOME of ""Team Nepal"" the national Surf TEAM of the Nation on Top of the World !
National Surf Center is the ONLY approved Surf Center by the Nepal National Surfing Association.","""""","Produce Quality and Licensed Surfing Experiences in Nepal.
Working for the Nepal National Surfing Association to bring Nepali Surfers to the ISA World Championships in Surfing","""""","""""","""""",Company,object,"""""","Bijendra Shrestha & Fred Aakerlund"
Restaurant/cafe,1407480402864929,Resturent,55,4,1102,amarsingh,Pokhara,Nepal,00977,"28.2639,83.9722",https://www.facebook.com/pages/Resturent/1407480402864929,+9779802803958,http://www.facebook.com,"""""","""""","""""","""""","""""","""""",Restaurant,object,"""""",""""""
"Local business",726322020764962,"Mount Annapurna Higher Seconday School",43,27,624,,Pokhara,Nepal,,"28.235215212631,83.984805514258",https://www.facebook.com/pages/Mount-Annapurna-Higher-Seconday-School/726322020764962,"""""","""""","""""","""""","""""","""""","""""","""""","High School","""""","""""",""""""
"Community organization",586951214730872,"Lostsociety organization",1550,280,135,,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/Lostsociety-organization/586951214730872,9856038686,"""""","""""","""""","""""","""""","""""","""""","Community Organization",object,"""""",""""""
"Non-profit organization",388961164449035,"Pokhara Buddhist Meditation Centre",3885,526,0,"Lakeside, Kahare",Pokhara,Nepal,977,"28.2639,83.9722",https://www.facebook.com/FPMTPokhara,"00977 - 61 - 46 29 23 or 981 866 1040",www.pokharabuddhistcentre.com,"Location: http://goo.gl/maps/dq7J
Phone 00977 - 61 - 46 29 23
email: pokhara.centre@yahoo.com

The Weekend Course
Every weekend - starting on Friday afternoon - is a three day course on Tibetan Buddhist Philosophy and Meditation and an Introduction to Yoga.
The cost of the course, including food and 3 nights accommodation is 6500 NRs

The Midweek Course - An Introduction to Buddhist Meditation Techniques and an Introduction to Yoga - costs 6500 NRs, including food and accommodation.

Daily Meditation: Tues to Thurs - 10.00am - 11.00am
Suggested donation 200 NRs

Daily Hatha Yoga: Mon to Fri - 7.30am - 9.00am
Cost 500 NRs per session


Location / address
http://goo.gl/maps/dq7J

Buddhist Meditation Centre
Ganden Yiga Chozin 
Near Kahare 
Lakeside
Pokhara 6
P.O. Box 285
NEPAL ","""""","Pokhara Buddhist Meditation Centre was started in 1993 to provide a peaceful place to present, study and contemplate Tibetan Buddhist teachings  - especially of the Gelugpa lineage.

The centre offers courses on:
-- Tibetan Buddhist philosophy, which develops the mind by teaching compassion and wisdom, and helps us to make sense of the world around us.
-- Meditation relaxes the mind and makes it peaceful. From tranquillity comes clarity and greater concentration. 

","The Centre is affiliated with the FPMT (Foundation for the Preservation of the Mahayana Tradition) and is one of approximately 160 centres and study groups world wide.","""""","""""","Non-Profit Organization",object,"""""","Lama Zopa Rinpoche"
Computers/technology,1490541057834442,"Maya Animation Academy, Pokhara",1066,4,74,Chipledhunga-9,Pokhara,Nepal,,"28.225640750992,83.989580714417",https://www.facebook.com/pages/Maya-Animation-Academy-Pokhara/1490541057834442,061-540238,http://www.maya-animation.com,"""""","""""","""""","""""","""""","""""",Computers/Technology,object,"""""",""""""
"Small business",172078429637323,"Crossway Photo Studio",1650,26,214,"Bagar - 1",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/CrosswayPhotoStudio,"9804102187 ,  9816154202","""""","""""","""""","""""","""""","""""","""""","Small Business",object,"""""",""""""
Arts/entertainment/nightlife,234771720034999,"FB ko bullet boyz n girlz",12121,40,227,p,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/FB-ko-bullet-boyz-n-girlz/234771720034999,9806799553,"""""","""""","""""","""""","""""","""""","""""",Entertainer,object,"""""",""""""
Restaurant/cafe,1379719752350327,"See-First Cafe&Resturant",344,10,14,"see-first cafe&Resturant",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/See-First-CafeResturant/1379719752350327,"""""","""""","""""","""""","""""","""""","""""","""""",Restaurant/Cafe,"""""","""""",""""""
Organization,1627624544136889,"एयरर्पोट युथ क्लब-७ Official",281,194,0,Nepal,Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/%E0%A4%8F%E0%A4%AF%E0%A4%B0%E0%A4%B0%E0%A5%8D%E0%A4%AA%E0%A5%8B%E0%A4%9F-%E0%A4%AF%E0%A5%81%E0%A4%A5-%E0%A4%95%E0%A5%8D%E0%A4%B2%E0%A4%AC-%E0%A5%AD-Official/1627624544136889,"""""","""""","""""","""""","""""","""""","""""","""""",Organization,object,"""""",""""""
"Community organization",817382968323051,"Radio Hemja 88.5 mhz listerns",533,49,26,"Hemja , milanchowk",Pokhara,Nepal,88.5,"28.2639,83.9722",https://www.facebook.com/elgy.mogahrny,"9817141028    9805259378",http://www.radiohemja.com/,"bivinna durgam chetrama raheka vyeglai sammetna hamro mukhye lakchye ho","""""","""""","""""","""""","""""","Just For Fun",object,"""""",""""""
"Professional services",1596908817208311,"Baideshik Rojgar Suchana Kendra",1855,65,3,Mahendrapul,Pokhara,Nepal,061,"28.2639,83.9722",https://www.facebook.com/baideshikrojgarsuchana,9856029172,"""""","""""","""""","""""","""""","""""","""""","Professional Services",object,"""""",""""""
Travel/leisure,784388021622323,"FUJI GUEST HOUSE",3741,3033,14,"Barahi Galli, Lakeside pokhara, baidam 6",Pokhara,Nepal,9807390230,"28.2639,83.9722",https://www.facebook.com/pages/FUJI-GUEST-HOUSE/784388021622323,061462230,"""""","""""","""""","""""","""""","""""","""""",Travel/Leisure,object,"""""",""""""
Shopping/retail,518643594901516,"Fashionista-Shop Online",2037,6,24,birauta,Pokhara,Nepal,0977,"28.2639,83.9722",https://www.facebook.com/shop17,9806530111,"""""","""""","""""","""""","""""","""""","""""","Shopping &amp; Retail",object,"""""",""""""
Media/news/publishing,1406177706303022,Sportsnepal.com.np,5935,5,24,,Pokhara,Nepal,+977,"28.263888888889,83.972222222222",https://www.facebook.com/Sportsnpnews,"""""",http://www.facebook.com/sportsnpnews,"नेपाली खेलकुद का सबै जानकारी, LIVE अपडेट, खेल को हाइलाइट अब एउटै पेज मा ! LIKE गर्नु भो त ? ","Manish Pahari and Pokhreli Choro","""""","""""","""""","""""","Sports &amp; Recreation",object,"""""",""""""
"Business services",1375853692675600,"Hi Pokhara Mobile and Electronics Services",1009,3,15,prithivichowk,Pokhara,Nepal,+977,"28.2639,83.9722",https://www.facebook.com/hipokhara,9815172330,https://www.facebook.com/amritbaral4,"""""","""""","""""","""""","""""","""""","Mobile Phone Shop/Electronic Equipment Service",object,"""""",""""""
"Community organization",129384003765183,"GBS FAMILY",2548,594,373,"Lamachuar, Pkr-16",Pokhara,Nepal,"POST  BOX NO. 9","28.258645837251,83.968037211609",https://www.facebook.com/GBSFAMILY,"061-440414, 061-440398",www.gbs.edu.np,"it's about creating strong bonds between all those who were once a part of GANDAKI BOARDING SCHOOL. students, parents, relatives, well-wishers,............ if you are related to this school directly or indirectly, you are always welcome to join. 

we will grow stronger....we will grow together

one school....one family....

GBS FAMILY","""""","to create a common place for all gandakians who share the common memories of being a part of GBS !","""""","""""","""""","Community Organization",object,"""""",""""""
Media/news/publishing,200905073433214,"Gandaki Television, Pokhara",1321,336,8,"Pokhara - 9, Nayabazar, kaski, Nepal",Pokhara,Nepal,,"28.2639,83.9722",https://www.facebook.com/pages/Gandaki-Television-Pokhara/200905073433214,"+977061527103, 104, 106",http://Gandakimedia.com,"""""","""""","""""","""""","""""","""""",Media/News/Publishing,object,"""""",""""""
